Generic_Name,Strength,Brand_Name,Molecule,Manufacturer,Price_INR,Availability,Therapeutic_Class,Is_Available
Sitagliptin,100.0,Sitanorm 100mg Tablet,Sitagliptin (100mg),Micro Labs Ltd,182.8,In Stock,Diabetes,1
Sitagliptin,100.0,SitaXA 100 Tablet,Sitagliptin (100mg),Torrent Pharmaceuticals Ltd,254.0,In Stock,Diabetes,1
Sitagliptin,100.0,STalix 100 Tablet,Sitagliptin (100mg),Torrent Pharmaceuticals Ltd,258.55,In Stock,Diabetes,1
Sitagliptin,100.0,Lupisit 100mg Tablet,Sitagliptin (100mg),Lupin Ltd,133.0,In Stock,Diabetes,1
Sitagliptin,100.0,SITAbite 100mg Tablet,Sitagliptin (100mg),Corona Remedies Pvt Ltd,123.0,In Stock,Diabetes,1
Sitagliptin,100.0,Sitaday 100 Tablet,Sitagliptin (100mg),Mankind Pharma Ltd,215.0,In Stock,Diabetes,1
Sitagliptin,100.0,GluRA 100mg Tablet,Sitagliptin (100mg),Eris Lifesciences Ltd,169.99,In Stock,Diabetes,1
Sitagliptin,100.0,SITason 100 Tablet,Sitagliptin (100mg),Unison Pharmaceuticals Pvt Ltd,60.9,In Stock,Diabetes,1
Sitagliptin,100.0,SitaPRIDE 100 Tablet,Sitagliptin (100mg),Micro Labs Ltd,179.0,In Stock,Diabetes,1
Sitagliptin,100.0,SitaGLO 100 Tablet,Sitagliptin (100mg),Aristo Pharmaceuticals Pvt Ltd,225.0,In Stock,Diabetes,1
Sitagliptin,100.0,Sita OD 100mg Tablet,Sitagliptin (100mg),Macleods Pharmaceuticals Pvt Ltd,120.0,In Stock,Diabetes,1
Sitagliptin,100.0,SIAGLide 100 Tablet,Sitagliptin (100mg),Abbott,307.0,In Stock,Diabetes,1
Sitagliptin,100.0,Sitahenz 100mg Tablet,Sitagliptin (100mg),La Renon Healthcare Pvt Ltd,166.8,In Stock,Diabetes,1
Vildagliptin,50.0,Galvus 50mg Tablet,Vildagliptin (50mg),Novartis India Ltd,364.0,In Stock,Diabetes,1
Vildagliptin,50.0,JALra 50mg Tablet,Vildagliptin (50mg),USV Private Limited,325.0,In Stock,Diabetes,1
Vildagliptin,50.0,Gliptagreat 50 Tablet,Vildagliptin (50mg),Mankind Pharma Ltd,91.5,In Stock,Diabetes,1
Vildagliptin,50.0,Torglip 50 Tablet,Vildagliptin (50mg),Torrent Pharmaceuticals Ltd,73.5,In Stock,Diabetes,1
Vildagliptin,50.0,ZuKaNorM 50mg Tablet,Vildagliptin (50mg),Mankind Pharma Ltd,83.3,In Stock,Diabetes,1
Vildagliptin,50.0,Zomelis 50mg Tablet,Vildagliptin (50mg),Eris Lifesciences Ltd,182.0,In Stock,Diabetes,1
Vildagliptin,50.0,Vildamac 50 Tablet,Vildagliptin (50mg),Macleods Pharmaceuticals Pvt Ltd,148.0,In Stock,Diabetes,1
Vildagliptin,50.0,VILDApride 50 Tablet,Vildagliptin (50mg),Micro Labs Ltd,188.0,In Stock,Diabetes,1
Vildagliptin,50.0,Vildanol 50mg Tablet,Vildagliptin (50mg),Knoll Pharmaceuticals Ltd,168.0,In Stock,Diabetes,1
Vildagliptin,50.0,Debiglip 50mg Tablet,Vildagliptin (50mg),Leeford Healthcare Ltd,103.0,In Stock,Diabetes,1
Vildagliptin,50.0,StayHappi Vildagliptin 50mg Tablet,Vildagliptin (50mg),Sarvagunaushdhi Pvt Ltd,44.1,Out of Stock,Diabetes,0
Vildagliptin,50.0,Genericart Vildagliptin 50mg Tablet,Vildagliptin (50mg),Swast Aushadhi Seva Generic Medicine Store,207.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Jardiance 10mg Tablet,Empagliflozin (10mg),Boehringer Ingelheim,354.0,In Stock,Diabetes,1
Empagliflozin,10.0,Gibtulio 10mg Tablet,Empagliflozin (10mg),Lupin Ltd,121.0,In Stock,Diabetes,1
Empagliflozin,10.0,Empacip 10 Tablet,Empagliflozin (10mg),Cipla Ltd,82.7,In Stock,Diabetes,1
Empagliflozin,10.0,Cospiaq 10mg Tablet,Empagliflozin (10mg),Torrent Pharmaceuticals Ltd,89.2,In Stock,Diabetes,1
Empagliflozin,10.0,EMpanorm 10 Tablet,Empagliflozin (10mg),Alkem Laboratories Ltd,91.0,In Stock,Diabetes,1
Empagliflozin,10.0,Xenia 10 Tablet,Empagliflozin (10mg),USV Private Limited,115.0,In Stock,Diabetes,1
Empagliflozin,10.0,empaONE 10mg Tablet,Empagliflozin (10mg),MSN Laboratories,115.0,In Stock,Diabetes,1
Empagliflozin,10.0,Empha 10 Tablet,Empagliflozin (10mg),Intas Pharmaceuticals Ltd,91.0,In Stock,Diabetes,1
Empagliflozin,10.0,Empaglyde 10 Tablet,Empagliflozin (10mg),Mankind Pharma Ltd,50.5,In Stock,Diabetes,1
Empagliflozin,10.0,Empagreat 10 Tablet,Empagliflozin (10mg),Mankind Pharma Ltd,50.5,In Stock,Diabetes,1
Empagliflozin,10.0,Empaneo 10 Tablet,Empagliflozin (10mg),Intas Pharmaceuticals Ltd,91.0,In Stock,Diabetes,1
Empagliflozin,10.0,Empajoy 10 Tablet,Empagliflozin (10mg),Macleods Pharmaceuticals Pvt Ltd,44.5,In Stock,Diabetes,1
Empagliflozin,10.0,Empaford 10mg Tablet,Empagliflozin (10mg),Leeford Healthcare Ltd,124.0,In Stock,Diabetes,1
Empagliflozin,10.0,Empahope 10 Tablet,Empagliflozin (10mg),Macleods Pharmaceuticals Pvt Ltd,45.3,In Stock,Diabetes,1
Empagliflozin,10.0,Empasov 10 Tablet,Empagliflozin (10mg),Cipla Ltd,82.7,In Stock,Diabetes,1
Empagliflozin,10.0,Empazio 10 Tablet,Empagliflozin (10mg),Torrent Pharmaceuticals Ltd,89.2,In Stock,Diabetes,1
Empagliflozin,10.0,EMPAglyn 10 Tablet,Empagliflozin (10mg),Zydus Healthcare Limited,110.0,In Stock,Diabetes,1
Empagliflozin,10.0,GLEmpa 10 Tablet,Empagliflozin (10mg),Glenmark Pharmaceuticals Ltd,102.0,In Stock,Diabetes,1
Empagliflozin,10.0,Empabite 10mg Tablet,Empagliflozin (10mg),Corona Remedies Pvt Ltd,91.0,In Stock,Diabetes,1
Empagliflozin,10.0,Empatrol 10 Tablet,Empagliflozin (10mg),Aristo Pharmaceuticals Pvt Ltd,92.0,In Stock,Diabetes,1
Empagliflozin,10.0,Vicra 10 Tablet,Empagliflozin (10mg),Dr Reddy's Laboratories Ltd,138.0,In Stock,Diabetes,1
Empagliflozin,10.0,Empapro 10mg Tablet,Empagliflozin (10mg),Micro Labs Ltd,99.3,In Stock,Diabetes,1
Empagliflozin,10.0,Empadon 10mg Tablet,Empagliflozin (10mg),Cadila Pharmaceuticals Ltd,92.0,In Stock,Diabetes,1
Empagliflozin,10.0,Jardix 10 Tablet,Empagliflozin (10mg),Eris Lifesciences Ltd,120.0,In Stock,Diabetes,1
Empagliflozin,10.0,NexEMPA 10 Tablet,Empagliflozin (10mg),Revanex Pharmaceuticals Pvt. Ltd.,122.0,In Stock,Diabetes,1
Empagliflozin,10.0,Empalo 10mg Tablet,Empagliflozin (10mg),Ajanta Pharma Ltd,89.3,In Stock,Diabetes,1
Empagliflozin,10.0,Empexel 10 Tablet,Empagliflozin (10mg),Abbott Healthcare Private Limited,138.0,In Stock,Diabetes,1
Empagliflozin,10.0,Empashield 10 Tablet,Empagliflozin (10mg),La Renon Healthcare Pvt Ltd,92.8,In Stock,Diabetes,1
Empagliflozin,10.0,Empri 10 Tablet,Empagliflozin (10mg),Emcure Pharmaceuticals Ltd,101.0,In Stock,Diabetes,1
Empagliflozin,10.0,Empaxit 10 Tablet,Empagliflozin (10mg),Arica Pharmaceutical Private Limited,118.0,In Stock,Diabetes,1
Empagliflozin,10.0,Empario 10 Tablet,Empagliflozin (10mg),Talent India,92.8,In Stock,Diabetes,1
Empagliflozin,10.0,Empiford 10mg Tablet,Empagliflozin (10mg),Leeford Healthcare Ltd,124.0,In Stock,Diabetes,1
Empagliflozin,10.0,Exempa 10mg Tablet,Empagliflozin (10mg),Alteus Biogenics Pvt Ltd,102.0,In Stock,Diabetes,1
Empagliflozin,10.0,Empamed 10mg Tablet,Empagliflozin (10mg),Shilpex Pharmysis,162.0,In Stock,Diabetes,1
Empagliflozin,10.0,Alempa 10mg Tablet,Empagliflozin (10mg),Alteus Biogenics Pvt Ltd,102.0,In Stock,Diabetes,1
Empagliflozin,10.0,Empacor 10 Tablet,Empagliflozin (10mg),Xabix Pharma Pvt. Ltd.,98.4,In Stock,Diabetes,1
Empagliflozin,10.0,Empanef 10 Tablet,Empagliflozin (10mg),Cognitus Life Sciences Pvt.Ltd,137.0,In Stock,Diabetes,1
Empagliflozin,10.0,Emnorm 10 Tablet,Empagliflozin (10mg),Ipca Laboratories Ltd,110.0,In Stock,Diabetes,1
Empagliflozin,10.0,Empatros 10 Tablet,Empagliflozin (10mg),Vertros Healthcare Private Limited,78.5,In Stock,Diabetes,1
Empagliflozin,10.0,Empacord 10 Tablet,Empagliflozin (10mg),Rencord Life Sciences Pvt Ltd,91.0,In Stock,Diabetes,1
Empagliflozin,10.0,Empexel 10mg Tablet,Empagliflozin (10mg),Abbott Healthcare Private Limited,138.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Xigad 10 Tablet,Empagliflozin (10mg),Zanjoe Formulation Private Limited,91.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Empazin 10mg Tablet,Empagliflozin (10mg),Deltas Pharma,132.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Empaverse 10mg Tablet,Empagliflozin (10mg),Verse Lifesciences,63.5,Out of Stock,Diabetes,0
Empagliflozin,10.0,Oboravo 10mg Tablet,Empagliflozin (10mg),Cipla Ltd,472.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Empastar 10mg Tablet,Empagliflozin (10mg),Goodman pharmaceuticals,138.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Emparaise 10 Tablet,Empagliflozin (10mg),Meraki Health,101.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Emfogen 10mg Tablet,Empagliflozin (10mg),General Pharmaceuticals Pvt Ltd,202.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Vempa 10mg Tablet,Empagliflozin (10mg),Avis Lifecare Pvt Ltd,56.1,Out of Stock,Diabetes,0
Empagliflozin,10.0,Empanice 10 Tablet,Empagliflozin (10mg),Arche Medichem Pvt Ltd,109.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Empacon 10mg Tablet,Empagliflozin (10mg),Agrosaf Pharmaceuticals,373.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Gempa 10mg Tablet,Empagliflozin (10mg),Genetic Pharma,3219.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Edelgliff 10 Tablet,Empagliflozin (10mg),Druto Laboratories,91.9,Out of Stock,Diabetes,0
Empagliflozin,10.0,Emlozin 10mg Tablet,Empagliflozin (10mg),Zytek Pharmaceuticals,179.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Empadoz 10mg Tablet,Empagliflozin (10mg),Lloyd Healthcare Pvt Ltd,109.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Coport 10mg Tablet,Empagliflozin (10mg),Aci Pharma Pvt Ltd,230.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Sucozin 10mg Tablet,Empagliflozin (10mg),Globela Pharma Pvt Ltd,202.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Empatyt 10 Tablet,Empagliflozin (10mg),Israelites Pharma Pvt Ltd.,82.8,Out of Stock,Diabetes,0
Empagliflozin,10.0,Empagrav 10 Tablet,Empagliflozin (10mg),Graviti Pharmaceuticals Pvt Limited,69.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Arpiempa 10mg Tablet,Empagliflozin (10mg),RPG Life Sciences Ltd,36.8,Out of Stock,Diabetes,0
Empagliflozin,10.0,Empixa 10mg Tablet,Empagliflozin (10mg),Tasmed (INDIA) Pvt. Ltd.,45.1,Out of Stock,Diabetes,0
Empagliflozin,10.0,Empamark 10mg Tablet,Empagliflozin (10mg),Wellmark Remedies Private Limited,120.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Emparock 10 Tablet,Empagliflozin (10mg),Jonael Pharma Pvt. Ltd.,108.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Empamedis 10 Tablet,Empagliflozin (10mg),Cardea Venture Private Limited,91.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Empatech 10 Tablet,Empagliflozin (10mg),STERIS Healthcare Pvt. Ltd.,124.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Justempa 10 Tablet,Empagliflozin (10mg),Human Biolife India Pvt Ltd,82.8,Out of Stock,Diabetes,0
Empagliflozin,10.0,Enpag 10mg Tablet,Empagliflozin (10mg),Mednich Pharmaceuticals,462.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Emjard 10mg Tablet,Empagliflozin (10mg),Grievers Remedies,230.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Emfiq 10 Tablet,Empagliflozin (10mg),Origin Healthcare,110.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Ajardy 10mg Tablet,Empagliflozin (10mg),Einzig Pharmaceutical Pvt Ltd,189.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Empalock 10 Tablet,Empagliflozin (10mg),Stemgrow Pharmaceuticals Pvt Ltd,91.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Gliempaflozin 10 Tablet,Empagliflozin (10mg),STERIS Healthcare Pvt. Ltd.,206.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Gludrain 10 Tablet,Empagliflozin (10mg),Neucure Healthcare Pvt. Ltd.,92.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Empajet 10 Tablet,Empagliflozin (10mg),Larishil Health Care Private Limited,100.0,Out of Stock,Diabetes,0
Empagliflozin,10.0,Emglit 10mg Tablet,Empagliflozin (10mg),New Medicon Pharma Labs Pvt Ltd,65.3,Out of Stock,Diabetes,0
Acarbose,50.0,Glucobay 50 Tablet,Acarbose (50mg),Bayer Zydus Pharma Pvt Ltd,161.0,In Stock,Diabetes,1
Acarbose,50.0,Acarboz 50mg Tablet,Acarbose (50mg),Knoll Pharmaceuticals Ltd,94.2,In Stock,Diabetes,1
Acarbose,50.0,Acartex 50 Tablet,Acarbose (50mg),Zeelab Pharmacy Pvt Ltd,60.0,In Stock,Diabetes,1
Acarbose,50.0,Danavish Acarbose 50mg Tablet,Acarbose (50mg),Danavish Healthcare,66.2,Out of Stock,Diabetes,0
Acarbose,50.0,Acarz 50mg Tablet,Acarbose (50mg),RPG Life Sciences Ltd,43.2,Out of Stock,Diabetes,0
Acarbose,50.0,Acardase 50mg Tablet,Acarbose (50mg),East West Pharma,147.0,Out of Stock,Diabetes,0
Acarbose,50.0,Acricop 50mg Tablet,Acarbose (50mg),Avecia Healthcare,77.3,Out of Stock,Diabetes,0
Acarbose,50.0,Acarpen 50mg Tablet,Acarbose (50mg),Morepen Laboratories Ltd,147.0,Out of Stock,Diabetes,0
Acarbose,50.0,Diacarb 50mg Tablet,Acarbose (50mg),Balsam Pharma Pvt Ltd,110.0,Out of Stock,Diabetes,0
Acarbose,50.0,Diadose 50mg Tablet,Acarbose (50mg),Solitaire Pharmacia Pvt Ltd,81.9,Out of Stock,Diabetes,0
Acarbose,50.0,Acose 50mg Tablet,Acarbose (50mg),Diacardus Pharmacy Pvt Ltd,87.4,Out of Stock,Diabetes,0
Acarbose,50.0,Acarjohn 50 Tablet,Acarbose (50mg),Johnlee Pharmaceuticals Pvt Ltd,110.0,Out of Stock,Diabetes,0
Acarbose,50.0,Glucoblix 50 Tablet,Acarbose (50mg),Biometabolix Healthcare Pvt Ltd,142.0,Out of Stock,Diabetes,0
Acarbose,50.0,Acarpro 50mg Tablet,Acarbose (50mg),Prevego Healthcare & Research Private Limited,184.0,Out of Stock,Diabetes,0
Acarbose,50.0,Karbocheck 50mg Tablet,Acarbose (50mg),Shreya Life Sciences Pvt Ltd,69.9,Out of Stock,Diabetes,0
Acarbose,50.0,Lysibay 50mg Tablet,Acarbose (50mg),Shreya Life Sciences Pvt Ltd,64.9,Out of Stock,Diabetes,0
Acarbose,50.0,Daxabay 50mg Tablet,Acarbose (50mg),Daxia Healthcare,94.5,Out of Stock,Diabetes,0
Acarbose,50.0,Glystal 50mg Tablet,Acarbose (50mg),Pulse Pharmaceuticals,72.7,Out of Stock,Diabetes,0
Acarbose,50.0,Subase 50mg Tablet,Acarbose (50mg),Hos & Ins,81.9,Out of Stock,Diabetes,0
Acarbose,50.0,Gluboss 50mg Tablet,Acarbose (50mg),Curis Lifecare,82.8,Out of Stock,Diabetes,0
Acarbose,50.0,Acardil 50mg Tablet,Acarbose (50mg),Zee Laboratories,107.81,Out of Stock,Diabetes,0
Acarbose,50.0,Gbay 50mg Tablet,Acarbose (50mg),Tiska Life Sciences,121.0,Out of Stock,Diabetes,0
Acarbose,50.0,Rothcarb 50mg Tablet,Acarbose (50mg),Bienestar Life Science,147.0,Out of Stock,Diabetes,0
Acarbose,50.0,Disorb 50mg Tablet,Acarbose (50mg),Elder Pharmaceuticals Ltd,29.3,Out of Stock,Diabetes,0
Acarbose,50.0,AC 50mg Tablet,Acarbose (50mg),USV Private Limited,62.5,Out of Stock,Diabetes,0
Acarbose,50.0,Diabose 50mg Tablet,Acarbose (50mg),Micro Labs Ltd,108.0,Out of Stock,Diabetes,0
Acarbose,50.0,Glucobose 50mg Tablet,Acarbose (50mg),Medley Pharmaceuticals,83.9,Out of Stock,Diabetes,0
Acarbose,50.0,Cgbose 50mg Tablet,Acarbose (50mg),CMG Pharmaceuticals,124.0,Out of Stock,Diabetes,0
Acarbose,50.0,Acarcip 50 Tablet,Acarbose (50mg),Cipla Ltd,68.5,Out of Stock,Diabetes,0
Acarbose,50.0,Acarb 50mg Tablet,Acarbose (50mg),Mano Pharma Pvt Ltd,86.9,Out of Stock,Diabetes,0
Acarbose,50.0,AC Bose 50mg Tablet,Acarbose (50mg),Capital Pharma,128.0,Out of Stock,Diabetes,0
Acarbose,50.0,Carbatos 50mg Tablet,Acarbose (50mg),TOSC International Pvt Ltd,74.5,Out of Stock,Diabetes,0
Acarbose,50.0,Gludase 50mg Tablet,Acarbose (50mg),Alkem Laboratories Ltd,63.0,Out of Stock,Diabetes,0
Acarbose,50.0,Glutiro 50mg Tablet,Acarbose (50mg),Novartis India Ltd,55.2,Out of Stock,Diabetes,0
Acarbose,50.0,Zinicarb 50mg Tablet,Acarbose (50mg),Zinnia Life Sciences,94.5,Out of Stock,Diabetes,0
Acarbose,50.0,Glucodac 50mg Tablet,Acarbose (50mg),Innovative Pharmaceuticals,121.0,Out of Stock,Diabetes,0
